City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,78.37,broken clouds,-23.1203,-134.9692,People ThankYou
3,Puerto Ayora,EC,76.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Mareeba,AU,79.52,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
9,Saldanha,ZA,75.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
11,Port Alfred,ZA,75.54,light rain,-33.5906,26.891,The Halyards Hotel
15,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
20,Hithadhoo,MV,83.14,overcast clouds,-0.6,73.0833,Scoop Guest House
23,Oistins,BB,77.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
25,Port-Gentil,GA,84.16,few clouds,-0.7193,8.7815,Fengshui Residence
30,Mahebourg,MU,85.24,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
31,Beira,MZ,82.49,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
33,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
34,Kiunga,PG,85.48,light rain,-6.1219,141.2906,Airport Lodge Kiunga
38,Vao,NC,79.43,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
39,Lekoni,GA,77.65,overcast clouds,-1.5843,14.2591,Rendez-vous Des ChasseursD
52,Arraial Do Cabo,BR,75.24,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Tura,IN,75.69,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
54,Dingle,PH,84.09,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
61,Kota Kinabalu,MY,87.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
64,Moussoro,TD,79.29,clear sky,13.6408,16.4901,Hôtel Salama
72,Rabaul,PG,77.41,light rain,-4.1967,152.1721,Rabaul Hotel
78,Port Blair,IN,78.84,heavy intensity rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
94,Barranca De Upia,CO,76.68,broken clouds,4.5696,-72.9668,HOTEL GUAICARAMO
96,Waingapu,ID,85.23,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
