City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaitangata,NZ,2022-02-15 21:51:12,-46.2817,169.8464,60.93,67,93,7.0
1,Barrow,US,2022-02-15 21:51:12,71.2906,-156.7887,-30.98,100,0,10.36
2,Andenes,NO,2022-02-15 21:51:13,69.3143,16.1194,28.38,59,0,18.41
3,Kodiak,US,2022-02-15 21:46:19,57.79,-152.4072,40.51,87,20,0.0
4,Albany,US,2022-02-15 21:50:12,42.6001,-73.9662,27.45,55,93,6.58
5,Butaritari,KI,2022-02-15 21:51:13,3.0707,172.7902,81.88,74,44,15.97
6,Busselton,AU,2022-02-15 21:51:14,-33.65,115.3333,66.09,78,0,12.39
7,Ponta Do Sol,PT,2022-02-15 21:51:14,32.6667,-17.1,62.06,62,38,7.54
8,Yaan,NG,2022-02-15 21:51:15,7.3833,8.5667,84.79,12,53,1.95
9,Weinan,CN,2022-02-15 21:51:15,34.5036,109.5089,33.49,78,93,5.17
10,Castro,BR,2022-02-15 21:51:16,-24.7911,-50.0119,67.33,86,43,3.09
11,Hobart,AU,2022-02-15 21:51:16,-42.8794,147.3294,63.27,77,75,5.75
12,Tairua,NZ,2022-02-15 21:51:16,-37.0167,175.85,69.57,57,16,2.33
13,Punta Arenas,CL,2022-02-15 21:51:17,-53.15,-70.9167,46.51,66,75,28.77
14,Matara,LK,2022-02-15 21:51:17,5.9485,80.5353,73.76,90,90,3.91
15,Vaini,TO,2022-02-15 21:51:17,-21.2,-175.2,84.36,74,20,6.91
16,Shelburne,CA,2022-02-15 21:51:18,44.0787,-80.2041,23.67,69,91,3.74
17,Omsukchan,RU,2022-02-15 21:51:18,62.5333,155.8,-27.89,100,100,6.08
18,Elmina,GH,2022-02-15 21:51:19,5.0898,-1.348,80.17,88,77,11.05
19,Tiarei,PF,2022-02-15 21:51:19,-17.5333,-149.3333,84.22,73,30,13.56
20,Kindu,CD,2022-02-15 21:51:20,-2.95,25.95,69.84,99,100,1.86
21,Carnarvon,AU,2022-02-15 21:51:20,-24.8667,113.6333,78.87,61,3,9.22
22,Ust-Maya,RU,2022-02-15 21:51:21,60.4167,134.5333,-26.57,97,100,1.28
23,Bereda,ES,2022-02-15 21:51:21,43.2686,-7.5406,51.01,91,100,8.34
24,Atuona,PF,2022-02-15 21:51:21,-9.8,-139.0333,78.06,74,6,15.23
25,Victoria,HK,2022-02-15 21:46:39,22.2855,114.1577,62.65,81,100,15.99
26,El Limon,VE,2022-02-15 21:51:22,10.3059,-67.6321,88.92,71,97,7.81
27,Labuhan,ID,2022-02-15 21:51:22,-6.8844,112.2051,75.83,90,94,7.61
28,Puerto Ayora,EC,2022-02-15 21:51:23,-0.7393,-90.3518,85.96,87,90,8.99
29,Hisor,TJ,2022-02-15 21:51:23,38.525,68.5512,37.15,57,88,3.09
30,Ushuaia,AR,2022-02-15 21:51:23,-54.8,-68.3,49.62,57,75,33.38
31,Port-Cartier,CA,2022-02-15 21:51:24,50.0334,-66.8654,5.76,71,96,12.77
32,Bluff,NZ,2022-02-15 21:51:24,-46.6,168.3333,56.8,60,40,8.39
33,Iqaluit,CA,2022-02-15 21:51:25,63.7506,-68.5145,-27.31,67,75,6.91
34,Mulungu,BR,2022-02-15 21:51:25,-7.0244,-35.4619,87.17,59,10,10.65
35,Skibbereen,IE,2022-02-15 21:51:26,51.55,-9.2667,56.1,92,100,30.42
36,Leningradskiy,RU,2022-02-15 21:51:26,69.3833,178.4167,-14.76,97,100,6.2
37,Bathsheba,BB,2022-02-15 21:51:26,13.2167,-59.5167,81.21,74,75,21.85
38,Port Alfred,ZA,2022-02-15 21:51:27,-33.5906,26.891,72.09,93,100,15.59
39,Mataura,NZ,2022-02-15 21:51:27,-46.1927,168.8643,56.48,77,82,5.03
40,Upernavik,GL,2022-02-15 21:51:28,72.7868,-56.1549,-14.78,94,100,10.8
41,Asau,RO,2022-02-15 21:51:28,46.4333,26.4,40.95,77,74,5.46
42,Nyurba,RU,2022-02-15 21:51:28,63.2842,118.3319,-27.99,100,95,3.31
43,Georgetown,MY,2022-02-15 21:51:29,5.4112,100.3354,76.95,92,40,3.44
44,Jamestown,US,2022-02-15 21:48:36,42.097,-79.2353,31.32,43,0,5.75
45,Ostrovnoy,RU,2022-02-15 21:52:29,68.0531,39.5131,19.69,90,24,22.1
46,Pevek,RU,2022-02-15 21:52:30,69.7008,170.3133,-22.59,100,100,3.49
47,Grindavik,IS,2022-02-15 21:52:30,63.8424,-22.4338,30.67,86,75,20.71
48,Oranjemund,NA,2022-02-15 21:52:31,-28.55,16.4333,67.68,87,60,6.89
49,Buchanan,LR,2022-02-15 21:52:31,5.8808,-10.0467,78.76,86,67,6.62
50,Mongo,TD,2022-02-15 21:52:31,12.1844,18.693,80.22,14,86,8.81
51,Saint-Pierre,RE,2022-02-15 21:52:32,-21.3393,55.4781,78.48,78,0,20.71
52,Mahebourg,MU,2022-02-15 21:52:32,-20.4081,57.7,79.09,89,40,3.44
53,Qaanaaq,GL,2022-02-15 21:52:32,77.484,-69.3632,-13.81,86,99,2.86
54,Graham,US,2022-02-15 21:52:33,47.0529,-122.2943,49.39,82,100,3.44
