City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Geraldton,AU,-28.7667,114.6,93.61,31,40,25.32,scattered clouds
1,Thompson,CA,55.7435,-97.8558,-0.24,85,100,3.44,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,78.37,71,75,12.5,broken clouds
3,Puerto Ayora,EC,-0.7393,-90.3518,76.55,94,51,4.0,broken clouds
4,Mareeba,AU,-17.0,145.4333,79.52,83,97,5.66,overcast clouds
5,Gijon,ES,43.5357,-5.6615,60.26,71,100,7.0,overcast clouds
6,Seoul,KR,37.5683,126.9778,26.11,30,40,17.27,scattered clouds
7,Riyadh,SA,24.6877,46.7219,71.74,14,0,2.3,clear sky
8,Saint George,US,37.1041,-113.5841,51.64,43,0,8.05,clear sky
9,Saldanha,ZA,-33.0117,17.9442,75.25,83,2,19.95,clear sky
10,Srednekolymsk,RU,67.45,153.6833,-30.89,100,16,1.41,few clouds
11,Port Alfred,ZA,-33.5906,26.891,75.54,84,83,19.98,light rain
12,Baker City,US,44.7749,-117.8344,32.83,93,0,4.61,clear sky
13,Barrow,US,71.2906,-156.7887,-20.18,69,100,12.66,haze
14,Karratha,AU,-20.7377,116.8463,94.26,46,6,14.67,clear sky
15,Vaini,TO,-21.2,-175.2,77.16,94,20,6.91,few clouds
16,Ushuaia,AR,-54.8,-68.3,37.06,81,75,5.75,broken clouds
17,Jamestown,US,42.097,-79.2353,32.72,49,0,13.8,clear sky
18,Hay River,CA,60.8156,-115.7999,-34.62,74,0,2.3,clear sky
19,Bilma,NE,18.6853,12.9164,71.62,11,0,11.05,clear sky
20,Hithadhoo,MV,-0.6,73.0833,83.14,68,98,16.24,overcast clouds
21,Abapo,BO,-18.8333,-63.4667,69.58,68,93,0.92,overcast clouds
22,Warrnambool,AU,-38.3833,142.4833,66.81,72,100,7.02,light rain
23,Oistins,BB,13.0667,-59.5333,77.09,73,40,26.46,scattered clouds
24,Airai,TL,-8.9266,125.4092,68.67,74,88,2.44,overcast clouds
25,Port-Gentil,GA,-0.7193,8.7815,84.16,74,20,11.5,few clouds
26,Albany,US,42.6001,-73.9662,19.31,77,18,3.27,few clouds
27,Mazara Del Vallo,IT,37.6641,12.588,54.0,70,92,20.09,overcast clouds
28,Victoria,HK,22.2855,114.1577,69.76,74,88,15.99,overcast clouds
29,Hasaki,JP,35.7333,140.8333,48.6,47,47,7.65,scattered clouds
30,Mahebourg,MU,-20.4081,57.7,85.24,100,75,11.5,light rain
31,Beira,MZ,-19.8436,34.8389,82.49,83,75,11.5,broken clouds
32,Busselton,AU,-33.65,115.3333,95.09,34,0,18.45,clear sky
33,Bathsheba,BB,13.2167,-59.5167,77.61,73,40,26.46,scattered clouds
